sample_index,immune_score,epi_score,driver_gene_score
T28_E4.S242,-1.1970308,-0.05090114,-1.1314263
T28_E5.S250,1.0284736,-0.05090114,1.0252044
T28_E6.S258,1.1186876,-0.05090114,1.2563472
T28_E7.S266,-0.834606,-0.05090114,-0.08065472
T28_E8.S274,0.28390172,-0.05090114,0.7473334
T28_F10.S291,-0.33615044,-0.05090114,-1.1962464
T28_F11.S299,-2.0540938,-0.05090114,-2.4459484
T28_F12.S307,-0.5769232,-0.05090114,-1.1252414
T28_F1.S219,1.3318422,-0.05090114,1.4688578
T28_F2.S227,-1.3119198,-0.05090114,-1.609719
T28_F3.S235,-0.5100282,-0.05090114,0.2063264
T28_F4.S243,-1.2313979,-0.05090114,-0.7995977
T28_F5.S251,-0.40053195,-0.05090114,-0.10712053
T28_F8.S275,0.3289164,-0.05090114,0.42282844
T28_G10.S292,-1.323915,-0.05090114,-0.9154951
T28_G11.S300,-0.088212945,-0.05090114,0.42520756
T28_G2.S228,0.65157753,-0.05090114,0.74877214
T28_G3.S236,-0.06943327,-0.05090114,0.5505963
T28_G4.S244,-0.47310647,-0.05090114,-0.82177496
T28_G5.S252,0.60280323,-0.05090114,0.64820254
T28_H1.S221,0.260099,-0.05090114,0.3599574
T28_H3.S237,-0.6004452,-0.05090114,-0.47729746
T28_H5.S253,-1.1880214,-0.05090114,-0.7327401
T28_A11.S177,-1.2651571,-0.05090114,-0.60689586
T28_A14.S169,-1.8123804,-0.05090114,-1.9064623
T28_A2.S105,-0.71614766,-0.05090114,-0.5636999
T28_A3.S113,-1.1929865,-0.05090114,-0.5521326
T28_A7.S145,-0.53173274,-0.05090114,-0.7670612
T28_A8.S153,0.07021004,-0.05090114,-0.39953995
T28_A9.S161,-2.3243697,-0.05090114,-1.5851679
T28_B12.S186,-1.7443463,-0.05090114,-1.4610244
T28_B5.S130,-2.1490898,-0.05090114,-2.2980793
T28_C12.S187,-1.3945701,-0.05090114,-1.6887178
T28_C2.S107,-0.22009447,-0.05090114,-0.42944303
T28_C6.S139,0.24171191,-0.05090114,0.19440293
T28_C7.S147,-0.21292777,-0.05090114,0.87231225
T28_C8.S155,-0.25162727,-0.05090114,-0.6871064
T28_D11.S180,-0.9975386,-0.05090114,-0.11175637
T28_D14.S172,0.53603894,-0.05090114,0.8963148
T28_D3.S116,-0.9557815,-0.05090114,-0.5442427
T28_D4.S124,-1.6135734,-0.05090114,-1.0071237
T28_D5.S132,0.053836428,-0.05090114,0.23657995
T28_D6.S140,-1.7530613,-0.05090114,-1.5322292
T28_D7.S148,-1.1585364,-0.05090114,-1.254296
T28_E12.S189,0.16886412,-0.05090114,-0.11566012
T28_E14.S173,0.16839379,-0.05090114,-0.037615456
T28_E8.S157,-0.5736666,-0.05090114,0.31440395
T28_F11.S182,0.11381228,-0.05090114,1.037192
T28_F12.S190,-0.10314985,-0.05090114,-0.41430157
T28_F14.S174,-0.2108237,-0.05090114,0.12166359
T28_F3.S118,-2.2509983,-0.05090114,-2.7319338
T28_F4.S126,0.293674,-0.05090114,0.1748251
T28_F5.S134,-0.8210766,-0.05090114,-0.78702205
T28_F6.S142,-0.22600418,-0.05090114,0.3095361
T28_F7.S150,0.028992083,-0.05090114,0.56105345
T28_F8.S158,0.5984357,-0.05090114,0.58108574
T28_G12.S191,-0.2703005,-0.05090114,0.47230652
T28_G14.S175,-1.5102795,-0.05090114,-1.2393008
T28_G2.S111,-2.7197163,-0.05090114,-1.915744
T28_G3.S119,0.03588699,-0.05090114,0.23744361
T28_G5.S135,-0.16145235,-0.05090114,-0.01699431
T28_G7.S151,-0.41698527,-0.05090114,-0.33811435
T28_G9.S167,0.08337458,-0.05090114,0.9483131
T28_H11.S184,-0.3506789,-0.05090114,1.2018396
T28_H12.S192,1.1399739,-0.05090114,0.5731888
T28_H5.S136,-0.20453426,-0.05090114,0.39829716
T28_H6.S144,-0.55609393,-0.05090114,-0.2572874
T28_H8.S160,0.20029345,-0.05090114,0.22219004
lib1_AR_T28_1_A10.S297,-1.5528401,-0.05090114,-0.97724926
lib1_AR_T28_1_A11.S298,0.58879113,-0.05090114,0.34434664
lib1_AR_T28_1_A12.S299,-0.13058294,-0.05090114,-0.801998
lib1_AR_T28_1_A1.S288,0.029383687,-0.05090114,0.21674502
lib1_AR_T28_1_A2.S289,-0.3181104,-0.05090114,-0.61668885
lib1_AR_T28_1_A4.S291,1.0027767,-0.05090114,0.90151757
lib1_AR_T28_1_A7.S294,0.050755084,-0.05090114,0.40443608
lib1_AR_T28_1_A8.S295,0.06619498,-0.05090114,-0.11520496
lib1_AR_T28_1_B10.S309,-1.177334,-0.05090114,-1.9703325
lib1_AR_T28_1_B11.S310,-1.3810476,-0.05090114,-1.6597028
lib1_AR_T28_1_B12.S311,-0.207476,-0.05090114,-0.29936117
lib1_AR_T28_1_B1.S300,-0.4994925,-0.05090114,-0.2567707
lib1_AR_T28_1_B2.S301,-0.59328544,-0.05090114,-0.17697574
lib1_AR_T28_1_B3.S302,-0.9368068,-0.05090114,-1.2184969
lib1_AR_T28_1_B4.S303,-0.4301231,-0.05090114,-0.7228375
lib1_AR_T28_1_B5.S304,-0.025146836,-0.05090114,0.35641617
lib1_AR_T28_1_B7.S306,-0.97702444,-0.05090114,-0.28445947
lib1_AR_T28_1_B8.S307,1.0439293,-0.05090114,1.0317335
lib1_AR_T28_1_B9.S308,-0.018431144,-0.05090114,-0.35038406
lib1_AR_T28_1_C11.S322,-0.112394385,-0.05090114,-0.45752686
lib1_AR_T28_1_C12.S323,-0.43555257,-0.05090114,-0.53803873
lib1_AR_T28_1_C1.S312,-1.8392482,-0.05090114,-1.6249382
lib1_AR_T28_1_C2.S313,0.7929189,-0.05090114,0.8747794
lib1_AR_T28_1_C3.S314,0.52319765,-0.05090114,1.5333358
lib1_AR_T28_1_C4.S315,-1.1807314,-0.05090114,-0.4303898
lib1_AR_T28_1_C5.S316,-0.33806044,-0.05090114,-1.1668346
lib1_AR_T28_1_C6.S317,-1.9698415,-0.05090114,-1.6534815
lib1_AR_T28_1_C7.S318,1.0022867,-0.05090114,0.20494321
lib1_AR_T28_1_C9.S320,-1.5792397,-0.05090114,-0.9578783
lib1_AR_T28_1_D10.S333,0.48380554,-0.05090114,0.034803465
lib1_AR_T28_1_D12.S335,0.8307823,-0.05090114,0.9430612
lib1_AR_T28_1_D1.S324,-0.0060829856,-0.05090114,0.76945835
lib1_AR_T28_1_D4.S327,1.0322263,-0.05090114,0.4713955
lib1_AR_T28_1_D5.S328,-1.0931004,-0.05090114,-1.4901325
lib1_AR_T28_1_D6.S329,-1.3885257,-0.05090114,-1.0004921
lib1_AR_T28_1_D7.S330,-1.3673286,-0.05090114,-1.3918108
lib1_AR_T28_1_D8.S331,-0.5391321,-0.05090114,-0.8866396
lib1_AR_T28_1_D9.S332,0.62752134,-0.05090114,0.93120277
lib1_AR_T28_1_E10.S345,-2.757163,-0.05090114,-3.1699235
lib1_AR_T28_1_E11.S346,-0.06191704,-0.05090114,-0.2673138
lib1_AR_T28_1_E1.S336,0.20544916,-0.05090114,0.41755953
lib1_AR_T28_1_E2.S337,0.14663772,-0.05090114,0.11677594
lib1_AR_T28_1_E4.S339,0.044669125,-0.05090114,0.05985285
lib1_AR_T28_1_E5.S340,0.082389876,-0.05090114,-0.5019065
lib1_AR_T28_1_E7.S342,-1.5598756,-0.05090114,-1.0797902
lib1_AR_T28_1_E8.S343,-2.915696,-0.05090114,-2.5406947
lib1_AR_T28_1_E9.S344,-0.5447547,-0.05090114,-0.03518507
lib1_AR_T28_1_F10.S357,-2.8069212,-0.05090114,-2.3616903
lib1_AR_T28_1_F11.S358,-0.6337603,-0.05090114,-0.2587664
lib1_AR_T28_1_F12.S359,0.16684966,-0.05090114,0.32144505
lib1_AR_T28_1_F1.S348,0.13169537,-0.05090114,-0.0021877717
lib1_AR_T28_1_F2.S349,-0.560761,-0.05090114,-0.3628366
lib1_AR_T28_1_F3.S350,0.030114913,-0.05090114,0.9740044
lib1_AR_T28_1_F4.S351,0.14861952,-0.05090114,0.43824574
lib1_AR_T28_1_F5.S352,0.16526543,-0.05090114,0.100668624
lib1_AR_T28_1_F6.S353,-1.7104414,-0.05090114,-1.2429949
lib1_AR_T28_1_F7.S354,0.34034917,-0.05090114,-0.17389496
lib1_AR_T28_1_F8.S355,0.8866728,-0.05090114,1.1356863
lib1_AR_T28_1_F9.S356,0.6897582,-0.05090114,-0.2155079
lib1_AR_T28_1_G10.S369,-1.3385974,-0.05090114,-1.8731476
lib1_AR_T28_1_G11.S370,0.2693059,-0.05090114,0.6186347
lib1_AR_T28_1_G12.S371,-2.6473105,-0.05090114,-2.0160723
lib1_AR_T28_1_G1.S360,-0.14182115,-0.05090114,0.3676323
lib1_AR_T28_1_G2.S361,-1.2832402,-0.05090114,-1.1994301
lib1_AR_T28_1_G3.S362,-0.06913127,-0.05090114,0.08817541
lib1_AR_T28_1_G4.S363,-0.52945936,-0.05090114,-0.4120986
lib1_AR_T28_1_G5.S364,-0.7714629,-0.05090114,-1.0643004
lib1_AR_T28_1_G6.S365,0.24582797,-0.05090114,-0.05093236
lib1_AR_T28_1_G7.S366,0.43274203,-0.05090114,-0.24490912
lib1_AR_T28_1_G8.S367,-0.14264692,-0.05090114,0.21103473
lib1_AR_T28_1_G9.S368,-0.35579896,-0.05090114,-1.1822996
lib1_AR_T28_1_H2.S373,-0.30688903,-0.05090114,-0.049490113
lib1_AR_T28_1_H5.S376,-0.53090847,-0.05090114,-0.30860844
lib2_AR_lib2_AR_T28_228_2_C1.S216,-1.2945801,-0.05090114,-0.97661406
lib2_AR_lib2_AR_T28_228_2_C2.S217,-1.974385,-0.05090114,-1.5221703
lib2_AR_lib2_AR_T28_228_2_C4.S219,-0.35764462,-0.05090114,-0.66389143
lib2_AR_lib2_AR_T28_228_2_C6.S221,-1.182614,-0.05090114,-1.3668593
lib2_AR_lib2_AR_T28_228_2_C8.S223,-3.748102,-0.05090114,-3.7227511
lib2_AR_lib2_AR_T28_228_2_C9.S224,-1.6995596,-0.05090114,-1.5954893
lib2_AR_lib2_AR_T28_228_2_D10.S237,-1.0994369,-0.05090114,-0.4395356
lib2_AR_lib2_AR_T28_228_2_D3.S230,-1.0317552,-0.05090114,-0.9883137
lib2_AR_lib2_AR_T28_228_2_D6.S233,-1.7149844,-0.05090114,-1.1848099
lib2_AR_lib2_AR_T28_228_2_D9.S236,-1.0397806,-0.05090114,-1.4890761
lib2_AR_lib2_AR_T28_228_2_E11.S250,-0.7693296,-0.05090114,-0.0023306524
lib2_AR_lib2_AR_T28_228_2_E2.S241,-0.8518361,-0.05090114,-1.7855605
lib2_AR_lib2_AR_T28_228_2_E3.S242,-1.0763942,-0.05090114,-1.0743473
lib2_AR_lib2_AR_T28_228_2_E7.S246,-0.45881614,-0.05090114,-0.63121986
lib2_AR_lib2_AR_T28_228_2_E8.S247,-0.9815863,-0.05090114,-1.8397317
lib2_AR_lib2_AR_T28_228_2_F11.S262,-1.2282519,-0.05090114,-1.2811766
lib2_AR_lib2_AR_T28_228_2_F12.S263,-1.5418895,-0.05090114,-1.8234622
lib2_AR_lib2_AR_T28_228_2_F3.S254,-1.5403526,-0.05090114,-1.4986831
lib2_AR_lib2_AR_T28_228_2_F4.S255,-1.3603375,-0.05090114,-0.5795622
lib2_AR_lib2_AR_T28_228_2_F6.S257,-0.3132057,-0.05090114,-0.82958776
lib2_AR_lib2_AR_T28_228_2_G10.S273,0.40916556,-0.05090114,0.4116537
lib2_AR_lib2_AR_T28_228_2_G11.S274,-1.3263949,-0.05090114,-1.2427784
lib2_AR_lib2_AR_T28_228_2_G6.S269,-0.7173507,-0.05090114,-0.77305865
lib2_AR_lib2_AR_T28_228_2_G7.S270,-0.995341,-0.05090114,-0.87474656
lib2_AR_T28_2_C5.S220,-1.277527,-0.05090114,-1.5070423
lib2_AR_T28_2_D5.S232,-1.4282323,-0.05090114,-1.2460711
lib2_AR_T28_2_G5.S268,-1.2065216,-0.05090114,-1.6003692
Tres_A10.S382,1.0267651,-0.05090114,1.1557256
Tres_A11.S112,-1.4541148,-0.05090114,-1.1225804
Tres_A12.S104,1.6301659,-0.05090114,0.44170636
Tres_A1.S310,-0.32561722,-0.05090114,-0.58290005
Tres_A4.S334,1.1439533,-0.05090114,1.0220106
Tres_A5.S342,0.05629893,-0.05090114,-0.76281863
Tres_A6.S350,0.13747983,-0.05090114,0.09078156
Tres_A7.S358,1.537575,-0.05090114,0.9394269
Tres_A8.S366,0.12167506,-0.05090114,0.090039924
Tres_A9.S374,1.027935,-0.05090114,0.8352312
Tres_B10.S383,0.41427228,-0.05090114,0.06008627
Tres_B11.S111,0.7125341,-0.05090114,0.93768054
Tres_B12.S103,-0.49467194,-0.05090114,-0.89956605
Tres_B1.S311,0.9298963,-0.05090114,1.6367002
Tres_B2.S319,0.49710077,-0.05090114,-0.017619943
Tres_B3.S327,1.8423812,-0.05090114,1.6094664
Tres_B4.S335,0.0642132,-0.05090114,0.40744013
Tres_B5.S343,0.39975914,-0.05090114,0.63294256
Tres_B6.S351,2.223779,-0.05090114,0.9448564
Tres_B7.S359,1.0646453,-0.05090114,-0.42320296
Tres_C10.S384,-0.07012736,-0.05090114,-0.338978
Tres_C11.S110,1.0887222,-0.05090114,1.4747908
Tres_C12.S102,-0.78543836,-0.05090114,-0.7878645
Tres_C1.S312,0.5907328,-0.05090114,1.021485
Tres_C2.S320,-0.55857027,-0.05090114,-0.013949962
Tres_C3.S328,0.31862924,-0.05090114,-0.11421364
Tres_C4.S336,-1.7099633,-0.05090114,-1.1822437
Tres_C6.S352,-0.35997096,-0.05090114,-0.7880721
Tres_C7.S360,0.92180574,-0.05090114,0.62218726
Tres_C8.S368,-0.019117318,-0.05090114,0.11982135
Tres_C9.S376,-1.126751,-0.05090114,-1.0576922
Tres_D10.S117,0.8362979,-0.05090114,1.0370773
Tres_D11.S109,-0.15308855,-0.05090114,-0.82781094
Tres_D12.S101,-0.30586818,-0.05090114,-0.7646117
Tres_D1.S313,0.55314624,-0.05090114,-0.2311413
Tres_D2.S321,0.34766144,-0.05090114,0.18056898
Tres_D3.S329,-0.212049,-0.05090114,-0.4294296
Tres_D5.S345,-1.2773649,-0.05090114,-0.9261075
Tres_D6.S353,0.48496452,-0.05090114,-0.051684957
Tres_D7.S361,1.4086902,-0.05090114,0.2624007
Tres_D8.S369,-1.7833067,-0.05090114,-2.39259
Tres_E10.S116,0.48358178,-0.05090114,0.6511928
Tres_E11.S108,-0.74952364,-0.05090114,-0.0133119505
Tres_E12.S100,0.07059719,-0.05090114,0.30441007
Tres_E1.S314,-0.15947849,-0.05090114,-0.9485826
Tres_E2.S322,0.79191345,-0.05090114,1.0315623
Tres_E3.S330,0.24442047,-0.05090114,-0.3239865
Tres_E4.S338,1.4860055,-0.05090114,1.3661768
Tres_E5.S346,1.7226944,-0.05090114,2.293081
Tres_E6.S354,0.81932724,-0.05090114,0.2624767
Tres_E7.S362,0.23743397,-0.05090114,0.02184907
Tres_E8.S370,-0.024959203,-0.05090114,-0.43895662
Tres_E9.S378,0.22382733,-0.05090114,0.30088404
Tres_F10.S115,-0.1429915,-0.05090114,-0.4651137
Tres_F11.S107,0.68773186,-0.05090114,0.8264419
Tres_F1.S315,0.15943442,-0.05090114,0.15529254
Tres_F2.S323,1.7272382,-0.05090114,0.7471732
Tres_F3.S331,1.102274,-0.05090114,0.14173655
Tres_F5.S347,-0.046131082,-0.05090114,0.51342255
Tres_F6.S355,0.5725314,-0.05090114,0.9822823
Tres_F7.S363,0.5196148,-0.05090114,-0.01912196
Tres_F8.S371,-0.09309141,-0.05090114,-0.7210706
Tres_F9.S379,0.49876323,-0.05090114,0.6109648
Tres_G10.S114,-0.85778415,-0.05090114,-0.93138707
Tres_G11.S106,0.6001422,-0.05090114,0.46147305
Tres_G12.S98,0.09666289,-0.05090114,0.22299746
Tres_G1.S316,2.0745234,-0.05090114,0.45826674
Tres_G2.S324,0.9582002,-0.05090114,0.18702266
Tres_G3.S332,0.22472392,-0.05090114,-0.1615471
Tres_G4.S340,-0.37744462,-0.05090114,-0.41945377
Tres_G6.S356,-1.3465931,-0.05090114,-1.0196296
Tres_G7.S364,-0.15115628,-0.05090114,0.10689383
Tres_G8.S372,-0.69637537,-0.05090114,-0.60911584
Tres_G9.S380,0.26781374,-0.05090114,0.30441573
Tres_H10.S113,-1.6770804,-0.05090114,-1.1251549
Tres_H11.S105,-1.9285545,-0.05090114,-2.1469116
Tres_H12.S97,-2.4772272,-0.05090114,-2.6540604
Tres_H1.S317,0.08931251,-0.05090114,-0.2426775
Tres_H2.S325,0.6475486,-0.05090114,0.7672472
Tres_H3.S333,-1.3992199,-0.05090114,-1.417148
Tres_H5.S349,-0.8586592,-0.05090114,-1.2908946
Tres_H8.S373,-0.97623205,-0.05090114,-1.9018302
Tres_H9.S381,0.32563058,-0.05090114,-1.2463024
Tres_A11.S273,0.59124273,-0.05090114,0.71905327
Tres_A14.S265,1.1007491,-0.05090114,0.17620227
Tres_A4.S217,0.51150894,-0.05090114,0.028659951
Tres_A6.S233,0.19622096,-0.05090114,-0.20598581
Tres_A7.S241,1.173494,-0.05090114,0.025786776
Tres_A8.S249,-0.41448563,-0.05090114,-0.3202472
Tres_B11.S274,0.5142482,-0.05090114,0.8479744
Tres_B12.S282,-0.20286983,-0.05090114,0.34233004
Tres_B14.S266,1.3306129,-0.05090114,2.105534
Tres_B1.S194,0.670677,-0.05090114,0.8929231
Tres_B3.S210,0.20863992,-0.05090114,1.1227509
Tres_B4.S218,1.1309001,-0.05090114,1.1109746
Tres_B6.S234,-0.1310201,-0.05090114,0.41015732
Tres_B7.S242,0.71084243,-0.05090114,0.2783655
Tres_C14.S267,0.28889602,-0.05090114,0.29476598
Tres_C1.S195,1.5350378,-0.05090114,1.984959
Tres_C3.S211,0.19550905,-0.05090114,0.9157696
Tres_C4.S219,-1.1339991,-0.05090114,-1.0751073
Tres_C5.S227,-0.76227283,-0.05090114,-0.8334533
Tres_C6.S235,-1.1763928,-0.05090114,-0.10520225
Tres_C7.S243,-0.6049063,-0.05090114,-0.6007474
Tres_C8.S251,-0.27855787,-0.05090114,-0.29532832
Tres_C9.S259,1.8306074,-0.05090114,1.6535317
Tres_D11.S276,0.65454054,-0.05090114,1.217357
Tres_D12.S284,0.420331,-0.05090114,0.8793951
Tres_D14.S268,-0.7255051,-0.05090114,-0.8700262
Tres_D1.S196,1.7417934,-0.05090114,1.4714975
Tres_D3.S212,0.5737047,-0.05090114,-0.89114493
Tres_D4.S220,0.08856049,-0.05090114,0.45559514
Tres_D5.S228,0.7949032,-0.05090114,0.9856679
Tres_D6.S236,0.7811664,-0.05090114,0.5354796
Tres_D7.S244,0.4150837,-0.05090114,0.45308554
Tres_D8.S252,-0.6165158,-0.05090114,-0.50395316
Tres_E11.S277,1.1270262,-0.05090114,1.5858028
Tres_E12.S285,0.79145354,-0.05090114,0.86121213
Tres_E1.S197,0.97790766,-0.05090114,1.2694925
Tres_E3.S213,2.1556623,-0.05090114,1.4695863
Tres_E4.S221,0.6242999,-0.05090114,0.11755047
Tres_E5.S229,0.84995556,-0.05090114,0.5789341
Tres_E6.S237,1.8885885,-0.05090114,0.44976747
Tres_E7.S245,-0.12224786,-0.05090114,0.4439426
Tres_E8.S253,0.3522285,-0.05090114,0.13198742
Tres_E9.S261,2.0366411,-0.05090114,1.9393603
Tres_F11.S278,-1.207415,-0.05090114,-1.4808513
Tres_F12.S286,1.2198731,-0.05090114,0.92330086
Tres_F14.S270,1.7525316,-0.05090114,1.1342663
Tres_F1.S198,1.6599952,-0.05090114,1.752101
Tres_F4.S222,0.66690505,-0.05090114,-0.04768642
Tres_F6.S238,0.51557946,-0.05090114,0.23387831
Tres_F7.S246,0.33131653,-0.05090114,0.501978
Tres_F8.S254,1.2891365,-0.05090114,-0.7253358
Tres_F9.S262,-0.28757468,-0.05090114,0.23653504
Tres_G1.S199,0.4498726,-0.05090114,-0.14210118
Tres_G3.S215,-0.8257308,-0.05090114,-1.187252
Tres_G5.S231,-1.2161047,-0.05090114,-1.2090608
Tres_G6.S239,1.5339154,-0.05090114,1.9207335
Tres_G7.S247,0.6633004,-0.05090114,1.362684
Tres_G8.S255,-0.42025724,-0.05090114,-0.84473914
Tres_G9.S263,0.16284302,-0.05090114,-0.06317058
Tres_H11.S280,-0.05098777,-0.05090114,0.010088648
Tres_H14.S272,-0.19394264,-0.05090114,-0.25150535
Tres_H2.S208,1.9062514,-0.05090114,1.5810262
Tres_H4.S224,0.43115085,-0.05090114,0.26627085
Tres_H6.S240,0.28240162,-0.05090114,-0.33177987
Tres_H9.S264,-1.5325265,-0.05090114,-1.9540423
